Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
Haris Sohail (PAK),3,9,7,0,0,42.85,2,,v Ireland,Adelaide,15 Mar 2015,
V Kohli (IND),3,6,8,0,0,37.50,1,,v Bangladesh,Melbourne,19 Mar 2015,
Shoaib Malik (PAK),3,7,7,0,0,42.85,1,,v Zimbabwe,Lahore,31 May 2015,
SW Billings (ENG),3,8,6,0,0,50.00,1,,v New Zealand,Birmingham,9 Jun 2015,
B Kumar (IND),3,13,10,0,0,30.00,1,,v Bangladesh,Mirpur,21 Jun 2015,
Wahab Riaz (PAK),3,11,8,0,0,37.50,2,,v Zimbabwe,Harare,3 Oct 2015,
SK Raina (IND),3,3,3,0,0,100.00,2,,v South Africa,Kanpur,11 Oct 2015,
RG Sharma (IND),3,6,10,0,0,30.00,1,,v South Africa,Indore,14 Oct 2015,
Arafat Sunny (BAN),3,8,5,0,0,60.00,1,,v Zimbabwe,Mirpur,9 Nov 2015,
Iftikhar Ahmed (PAK),3,11,10,0,0,30.00,1,,v England,Sharjah,17 Nov 2015,
Samiullah Shinwari (AFG),3,-,7,0,0,42.85,1,,v Zimbabwe,Sharjah,25 Dec 2015,
Mirwais Ashraf (AFG),3,-,12,0,0,25.00,1,,v Zimbabwe,Sharjah,25 Dec 2015,
Hashmatullah Shahidi (AFG),3,-,14,0,0,21.42,2,,v Zimbabwe,Sharjah,2 Jan 2016,
Rashid Khan (AFG),3,-,4,0,0,75.00,2,,v Zimbabwe,Sharjah,2 Jan 2016,
Amir Hamza (AFG),3,-,10,0,0,30.00,2,,v Zimbabwe,Sharjah,4 Jan 2016,
Azhar Ali (PAK),3,20,14,0,0,21.42,1,,v New Zealand,Auckland,31 Jan 2016,
MM Ali (ENG),3,11,9,0,0,33.33,1,,v South Africa,Centurion,9 Feb 2016,
CJ Jordan (ENG),3,8,5,0,0,60.00,1,,v South Africa,Centurion,9 Feb 2016,
AM Phangiso (SA),3,7,7,0,0,42.85,1,,v West Indies,Providence,3 Jun 2016,
GJ Maxwell (AUS),3,20,7,0,0,42.85,2,,v South Africa,Providence,7 Jun 2016,
WD Parnell (SA),3,18,10,0,0,30.00,2,,v Australia,Basseterre,11 Jun 2016,
AM Phangiso (SA),3,8,10,0,0,30.00,2,,v Australia,Basseterre,11 Jun 2016,
JJ Roy (ENG),3,7,10,0,0,30.00,2,,v Sri Lanka,Nottingham,21 Jun 2016,
JM Bairstow (ENG),3,13,6,0,0,50.00,2,,v Sri Lanka,Nottingham,21 Jun 2016,
F du Plessis (SA),3,-,8,0,0,37.50,2,,v West Indies,Bridgetown,24 Jun 2016,
Javed Ahmadi (AFG),3,-,12,0,0,25.00,1,,v Ireland,Belfast,14 Jul 2016,
Najibullah Zadran (AFG),3,-,18,0,0,16.66,1,,v Ireland,Belfast,17 Jul 2016,
Javed Ahmadi (AFG),3,-,10,0,0,30.00,2,,v Ireland,Belfast,19 Jul 2016,
MS Wade (AUS),3,17,13,0,0,23.07,2,,v Sri Lanka,Pallekele,4 Sep 2016,
Mirwais Ashraf (AFG),3,8,3,0,0,100.00,2,,v Bangladesh,Mirpur,25 Sep 2016,
Mohammad Nabi (AFG),3,13,10,0,0,30.00,2,,v Bangladesh,Mirpur,1 Oct 2016,
Sabbir Rahman (BAN),3,30,21,0,0,14.28,1,,v England,Mirpur,9 Oct 2016,
Shakib Al Hasan (BAN),3,25,14,0,0,21.42,1,,v England,Mirpur,9 Oct 2016,
KS Williamson (NZ),3,15,9,0,0,33.33,1,,v India,Dharamsala,16 Oct 2016,
JDS Neesham (NZ),3,23,13,0,0,23.07,2,,v India,Visakhapatnam,29 Oct 2016,
AJ Finch (AUS),3,8,8,0,0,37.50,1,,v New Zealand,Melbourne,9 Dec 2016,
HM Nicholls (NZ),3,16,11,0,0,27.27,2,,v Australia,Melbourne,9 Dec 2016,
C Munro (NZ),3,-,7,0,0,42.85,1,,v Bangladesh,Nelson,29 Dec 2016,
TG Southee (NZ),3,-,7,0,0,42.85,1,,v Bangladesh,Nelson,29 Dec 2016,
Mosaddek Hossain (BAN),3,-,8,0,0,37.50,2,,v New Zealand,Nelson,29 Dec 2016,
Mahmudullah (BAN),3,8,7,0,0,42.85,1,,v New Zealand,Nelson,31 Dec 2016,
Tanbir Hayder (BAN),3,9,11,0,0,27.27,1,,v New Zealand,Nelson,31 Dec 2016,
MA Starc (AUS),3,9,5,0,0,60.00,1,,v Pakistan,Melbourne,15 Jan 2017,
Mohammad Hafeez (PAK),3,8,6,0,0,50.00,2,,v Australia,Adelaide,26 Jan 2017,
MA Starc (AUS),3,11,3,0,0,100.00,2,,v New Zealand,Auckland,30 Jan 2017,
AB de Villiers (SA),3,7,5,0,0,60.00,1,,v Sri Lanka,Durban,1 Feb 2017,
C Munro (NZ),3,11,9,0,0,33.33,1,,v Australia,Hamilton,5 Feb 2017,
Rashid Khan (AFG),3,5,5,0,0,60.00,1,,v Zimbabwe,Harare,19 Feb 2017,
DA Miller (SA),3,10,7,0,0,42.85,1,,v New Zealand,Wellington,25 Feb 2017,
Najibullah Zadran (AFG),3,10,9,0,0,33.33,1,,v Zimbabwe,Harare,26 Feb 2017,
JP Duminy (SA),3,15,10,0,0,30.00,2,,v New Zealand,Auckland,4 Mar 2017,
MM Ali (ENG),3,6,5,0,0,60.00,2,,v West Indies,North Sound,5 Mar 2017,
Dawlat Zadran (AFG),3,3,3,0,0,100.00,1,,v Ireland,Greater Noida,17 Mar 2017,
Usman Ghani (AFG),3,24,16,0,0,18.75,1,,v Ireland,Greater Noida,22 Mar 2017,
Ahmed Shehzad (PAK),3,-,14,0,0,21.42,2,,v West Indies,Providence,11 Apr 2017,
ST Finn (ENG),3,8,5,0,0,60.00,1,,v South Africa,Lord's,29 May 2017,
Soumya Sarkar (BAN),3,24,11,0,0,27.27,1,,v Australia,The Oval,5 Jun 2017,
MJ Santner (NZ),3,14,9,0,0,33.33,2,,v England,Cardiff,6 Jun 2017,
Soumya Sarkar (BAN),3,26,13,0,0,23.07,2,,v New Zealand,Cardiff,9 Jun 2017,
MA Wood (ENG),3,13,5,0,0,60.00,1,,v Pakistan,Cardiff,14 Jun 2017,
V Kohli (IND),3,-,12,0,0,25.00,2,,v West Indies,North Sound,2 Jul 2017,
V Kohli (IND),3,-,11,0,0,27.27,2,,v Sri Lanka,Pallekele,27 Aug 2017,
MP Stoinis (AUS),3,28,10,0,0,30.00,2,,v India,Chennai,17 Sep 2017,
MK Pandey (IND),3,14,13,0,0,23.07,1,,v Australia,Eden Gardens,21 Sep 2017,
PSP Handscomb (AUS),3,13,7,0,0,42.85,1,,v India,Indore,24 Sep 2017,
SPD Smith (AUS),3,5,5,0,0,60.00,1,,v India,Bengaluru,28 Sep 2017,
Nasir Hossain (BAN),3,15,11,0,0,27.27,2,,v South Africa,Paarl,18 Oct 2017,
KS Williamson (NZ),3,15,14,0,0,21.42,1,,v India,Pune,25 Oct 2017,
Gulbadin Naib (AFG),3,-,12,0,0,25.00,2,,v Ireland,Sharjah,7 Dec 2017,
TWM Latham (NZ),3,8,7,0,0,42.85,1,,v Pakistan,Wellington,6 Jan 2018,
Sarfaraz Ahmed (PAK),3,14,6,0,0,50.00,1,,v New Zealand,Nelson,9 Jan 2018,
Shoaib Malik (PAK),3,38,27,0,0,11.11,2,,v New Zealand,Dunedin,13 Jan 2018,
Babar Azam (PAK),3,8,9,0,0,33.33,1,,v New Zealand,Hamilton,16 Jan 2018,
Sarfaraz Ahmed (PAK),3,14,8,0,0,37.50,2,,v New Zealand,Wellington,19 Jan 2018,
MA Starc (AUS),3,-,6,0,0,50.00,1,,v England,Brisbane,19 Jan 2018,
Nasir Hossain (BAN),3,-,13,0,0,23.07,1,,v Sri Lanka,Mirpur,25 Jan 2018,
AD Hales (ENG),3,-,11,0,0,27.27,1,,v Australia,Adelaide,26 Jan 2018,
CL White (AUS),3,-,7,0,0,42.85,2,,v England,Adelaide,26 Jan 2018,
PJ Cummins (AUS),3,-,9,0,0,33.33,2,,v England,Adelaide,26 Jan 2018,
Tamim Iqbal (BAN),3,-,18,0,0,16.66,2,,v Sri Lanka,Mirpur,27 Jan 2018,
EJG Morgan (ENG),3,-,10,0,0,30.00,1,,v Australia,Perth,28 Jan 2018,
AL Phehlukwayo (SA),3,11,8,0,0,37.50,2,,v India,Cape Town,7 Feb 2018,
Asghar Afghan (AFG),3,-,10,0,0,30.00,1,,v Zimbabwe,Sharjah,9 Feb 2018,
Najibullah Zadran (AFG),3,-,11,0,0,27.27,2,,v Zimbabwe,Sharjah,11 Feb 2018,
K Rabada (SA),3,26,17,0,0,17.64,2,,v India,Gqeberha,13 Feb 2018,
MJ Guptill (NZ),3,9,4,0,0,75.00,2,,v England,Wellington,3 Mar 2018,
C de Grandhomme (NZ),3,8,8,0,0,37.50,2,,v England,Wellington,3 Mar 2018,
Mujeeb Ur Rahman (AFG),3,9,5,0,0,60.00,2,,v Zimbabwe,Bulawayo,6 Mar 2018,
MM Ali (ENG),3,7,10,0,0,30.00,1,,v New Zealand,Dunedin,7 Mar 2018,
CR Woakes (ENG),3,6,5,0,0,60.00,1,,v New Zealand,Dunedin,7 Mar 2018,
Mohammad Shahzad (AFG),3,8,11,0,0,27.27,2,,v U.A.E.,Harare,20 Mar 2018,
TD Paine (AUS),3,-,5,0,0,60.00,1,,v England,Chester-le-Street,21 Jun 2018,
JE Root (ENG),3,-,6,0,0,50.00,1,,v India,Nottingham,12 Jul 2018,
Sabbir Rahman (BAN),3,-,4,0,0,75.00,1,,v West Indies,Providence,22 Jul 2018,
AK Markram (SA),3,-,11,0,0,27.27,2,,v Sri Lanka,Dambulla,1 Aug 2018,
DA Miller (SA),3,-,5,0,0,60.00,2,,v Sri Lanka,Dambulla,1 Aug 2018,
H Klaasen (SA),3,-,8,0,0,37.50,2,,v Sri Lanka,Colombo (RPS),12 Aug 2018,
AL Phehlukwayo (SA),3,-,14,0,0,21.42,2,,v Sri Lanka,Colombo (RPS),12 Aug 2018,
Mustafizur Rahman (BAN),3,-,9,0,0,33.33,1,,v India,Dubai (DICS),21 Sep 2018,
Rahmat Shah (AFG),3,-,4,0,0,75.00,1,,v India,Dubai (DICS),25 Sep 2018,
YS Chahal (IND),3,-,5,0,0,60.00,2,,v West Indies,Pune,27 Oct 2018,
KK Ahmed (IND),3,-,11,0,0,27.27,2,,v West Indies,Pune,27 Oct 2018,
PJ Cummins (AUS),3,-,8,0,0,37.50,1,,v South Africa,Adelaide,9 Nov 2018,
DW Steyn (SA),3,-,11,0,0,27.27,2,,v Australia,Adelaide,9 Nov 2018,
C de Grandhomme (NZ),3,-,12,0,0,25.00,1,,v Pakistan,Abu Dhabi,9 Nov 2018,
V Kohli (IND),3,10,8,0,0,37.50,2,,v Australia,Sydney,12 Jan 2019,
Kuldeep Yadav (IND),3,14,6,0,0,50.00,2,,v Australia,Sydney,12 Jan 2019,
C de Grandhomme (NZ),3,10,8,0,0,37.50,2,,v India,Mount Maunganui,26 Jan 2019,
MJ Santner (NZ),3,10,9,0,0,33.33,1,,v India,Mount Maunganui,28 Jan 2019,
Rubel Hossain (BAN),3,6,3,0,0,100.00,2,,v New Zealand,Dunedin,20 Feb 2019,
Gulbadin Naib (AFG),3,-,6,0,0,50.00,1,,v Ireland,Dehradun,2 Mar 2019,
Kuldeep Yadav (IND),3,-,3,0,0,100.00,1,,v Australia,Nagpur,5 Mar 2019,
K Rabada (SA),3,13,6,0,0,50.00,1,,v Sri Lanka,Centurion,6 Mar 2019,
AT Carey (AUS),3,-,9,0,0,33.33,1,,v India,Delhi,13 Mar 2019,
Mohammed Shami (IND),3,-,7,0,0,42.85,2,,v Australia,Delhi,13 Mar 2019,
Fakhar Zaman (PAK),3,-,11,0,0,27.27,1,,v England,The Oval,8 May 2019,
Faheem Ashraf (PAK),3,8,4,0,0,75.00,2,,v England,Southampton,11 May 2019,
Gulbadin Naib (AFG),3,10,11,0,0,27.27,1,,v Ireland,Belfast,21 May 2019,
MM Ali (ENG),3,13,9,0,0,33.33,1,,v South Africa,The Oval,30 May 2019,
JP Duminy (SA),3,11,11,0,0,27.27,1,,v India,Southampton,5 Jun 2019,
DA Warner (AUS),3,24,8,0,0,37.50,1,,v West Indies,Nottingham,6 Jun 2019,
MA Starc (AUS),3,12,3,0,0,100.00,2,,v India,The Oval,9 Jun 2019,
MA Starc (AUS),3,10,6,0,0,50.00,1,,v Pakistan,Taunton,12 Jun 2019,
SE Marsh (AUS),3,19,9,0,0,33.33,1,,v Sri Lanka,The Oval,15 Jun 2019,
JC Archer (ENG),3,18,11,0,0,27.27,2,,v Sri Lanka,Leeds,21 Jun 2019,
K Rabada (SA),3,13,7,0,0,42.85,2,,v Pakistan,Lord's,23 Jun 2019,
Soumya Sarkar (BAN),3,13,10,0,0,30.00,1,,v Afghanistan,Southampton,24 Jun 2019,
LRPL Taylor (NZ),3,14,8,0,0,37.50,1,,v Pakistan,Birmingham,26 Jun 2019,
Mosaddek Hossain (BAN),3,13,7,0,0,42.85,2,,v India,Birmingham,2 Jul 2019,
C de Grandhomme (NZ),3,15,13,0,0,23.07,2,,v England,Chester-le-Street,3 Jul 2019,
AJ Finch (AUS),3,9,4,0,0,75.00,2,,v South Africa,Manchester,6 Jul 2019,
NM Lyon (AUS),3,7,3,0,0,100.00,2,,v South Africa,Manchester,6 Jul 2019,
Mahmudullah (BAN),3,-,10,0,0,30.00,2,,v Sri Lanka,Colombo (RPS),26 Jul 2019,
Taijul Islam (BAN),3,-,9,0,0,33.33,1,,v Sri Lanka,Colombo (RPS),28 Jul 2019,
Asghar Afghan (AFG),3,-,8,0,0,37.50,2,,v West Indies,Lucknow,9 Nov 2019,
DA Warner (AUS),3,-,7,0,0,42.85,1,,v India,Bengaluru,19 Jan 2020,
JDS Neesham (NZ),3,7,5,0,0,60.00,1,,v India,Auckland,8 Feb 2020,
TG Southee (NZ),3,17,10,0,0,30.00,1,,v India,Auckland,8 Feb 2020,
MA Agarwal (IND),3,12,5,0,0,60.00,2,,v New Zealand,Auckland,8 Feb 2020,
BE Hendricks (SA),3,9,6,0,0,50.00,1,,v England,Johannesburg,9 Feb 2020,
MA Starc (AUS),3,9,5,0,0,60.00,1,,v South Africa,Bloemfontein,4 Mar 2020,
K Verreynne (SA),3,14,6,0,0,50.00,2,,v Australia,Bloemfontein,4 Mar 2020,
Mahmudullah (BAN),3,-,4,0,0,75.00,1,,v Zimbabwe,Sylhet,6 Mar 2020,
AU Rashid (ENG),3,10,3,0,0,100.00,1,,v Ireland,Southampton,4 Aug 2020,
JJ Roy (ENG),3,19,12,0,0,25.00,2,,v Australia,Manchester,11 Sep 2020,
JC Buttler (ENG),3,14,7,0,0,42.85,1,,v Australia,Manchester,13 Sep 2020,
Rahmat Shah (AFG),3,12,9,0,0,33.33,1,,v Ireland,Abu Dhabi,21 Jan 2021,
Mohammad Nabi (AFG),3,11,7,0,0,42.85,1,,v Ireland,Abu Dhabi,21 Jan 2021,
Mahedi Hasan (BAN),3,10,8,0,0,37.50,2,,v New Zealand,Wellington,26 Mar 2021,
B Kumar (IND),3,13,5,0,0,60.00,1,,v England,Pune,28 Mar 2021,
Danish Aziz (PAK),3,10,6,0,0,50.00,2,,v South Africa,Centurion,2 Apr 2021,
AL Phehlukwayo (SA),3,6,5,0,0,60.00,1,,v Pakistan,Johannesburg,4 Apr 2021,
SW Billings (ENG),3,10,8,0,0,37.50,2,,v Sri Lanka,Chester-le-Street,29 Jun 2021,
JA Simpson (ENG),3,19,12,0,0,25.00,2,,v Pakistan,Birmingham,13 Jul 2021,
H Klaasen (SA),3,7,4,0,0,75.00,1,,v Ireland,Dublin (Malahide),16 Jul 2021,
MS Wade (AUS),3,15,4,0,0,75.00,1,,v West Indies,Bridgetown,20 Jul 2021,
Mohammed Siraj (IND),3,9,5,0,0,60.00,1,,v West Indies,Ahmedabad,9 Feb 2022,
Mushfiqur Rahim (BAN),3,8,5,0,0,60.00,2,,v Afghanistan,Chattogram,23 Feb 2022,
Saud Shakeel (PAK),3,11,8,0,0,37.50,2,,v Australia,Lahore,29 Mar 2022,
KA Jamieson (NZ),3,9,4,0,0,75.00,1,,v Netherlands,Hamilton,2 Apr 2022,
MG Bracewell (NZ),3,15,2,0,0,150.00,1,,v Netherlands,Hamilton,4 Apr 2022,
Mohammad Nawaz (3) (PAK),3,13,5,0,0,60.00,1,,v West Indies,Multan,10 Jun 2022,
AC Agar (AUS),3,17,11,0,0,27.27,2,,v Sri Lanka,Pallekele,14 Jun 2022,
RJW Topley (ENG),3,5,7,0,0,42.85,1,,v India,Lord's,14 Jul 2022,
YS Chahal (IND),3,11,13,0,0,23.07,2,,v England,Lord's,14 Jul 2022,
WA Young (NZ),3,14,12,0,0,25.00,1,,v Ireland,Dublin (Malahide),15 Jul 2022,
MM Ali (ENG),3,8,4,0,0,75.00,2,,v South Africa,Chester-le-Street,19 Jul 2022,
SN Thakur (IND),3,12,6,0,0,50.00,2,,v West Indies,Port of Spain,24 Jul 2022,
Fakhar Zaman (PAK),3,-,10,0,0,30.00,2,,v Netherlands,Rotterdam,18 Aug 2022,
MJ Guptill (NZ),3,15,11,0,0,27.27,1,,v West Indies,Bridgetown,19 Aug 2022,
Naseem Shah (PAK),3,16,9,0,0,33.33,1,,v Netherlands,Rotterdam,21 Aug 2022,
FH Allen (NZ),3,18,9,0,0,33.33,2,,v West Indies,Bridgetown,21 Aug 2022,
MP Stoinis (AUS),3,24,15,0,0,20.00,1,,v Zimbabwe,Townsville,3 Sep 2022,
C Green (AUS),3,17,11,0,0,27.27,1,,v Zimbabwe,Townsville,3 Sep 2022,
Shubman Gill (IND),3,13,7,0,0,42.85,2,,v South Africa,Lucknow,6 Oct 2022,
Avesh Khan (IND),3,8,6,0,0,50.00,2,,v South Africa,Lucknow,6 Oct 2022,
RR Hendricks (SA),3,36,21,0,0,14.28,1,,v India,Delhi,11 Oct 2022,
S Dhawan (IND),3,-,10,0,0,30.00,1,,v New Zealand,Hamilton,27 Nov 2022,
Rashid Khan (AFG),3,5,8,0,0,37.50,1,,v Sri Lanka,Pallekele,27 Nov 2022,
S Dhawan (IND),3,24,8,0,0,37.50,1,,v Bangladesh,Chattogram,10 Dec 2022,
SS Iyer (IND),3,12,6,0,0,50.00,1,,v Bangladesh,Chattogram,10 Dec 2022,
SN Thakur (IND),3,14,5,0,0,60.00,1,,v Bangladesh,Chattogram,10 Dec 2022,
Mehidy Hasan Miraz (BAN),3,12,5,0,0,60.00,2,,v India,Chattogram,10 Dec 2022,
GD Phillips (NZ),3,21,8,0,0,37.50,1,,v Pakistan,Karachi,11 Jan 2023,
Mohammad Nawaz (3) (PAK),3,12,5,0,0,60.00,2,,v New Zealand,Karachi,11 Jan 2023,
SN Thakur (IND),3,9,3,0,0,100.00,1,,v New Zealand,Hyderabad,18 Jan 2023,
Kuldeep Yadav (IND),3,11,3,0,0,100.00,1,,v New Zealand,Indore,24 Jan 2023,
BM Duckett (ENG),3,8,5,0,0,60.00,2,,v South Africa,Bloemfontein,27 Jan 2023,
Ishan Kishan (IND),3,11,8,0,0,37.50,2,,v Australia,Wankhede,17 Mar 2023,
Tamim Iqbal (BAN),3,11,9,0,0,33.33,1,,v Ireland,Sylhet,18 Mar 2023,
RD Rickelton (SA),3,-,10,0,0,30.00,2,,v West Indies,Potchefstroom,21 Mar 2023,
AF Milne (NZ),3,15,9,0,0,33.33,2,,v Pakistan,Karachi,3 May 2023,
HB Shipley (NZ),3,7,5,0,0,60.00,1,,v Pakistan,Karachi,7 May 2023,
Noor Ahmad (AFG),3,10,7,0,0,42.85,2,,v Sri Lanka,Hambantota,4 Jun 2023,
Shadab Khan (PAK),3,6,8,0,0,37.50,1,,v Afghanistan,Colombo (RPS),26 Aug 2023,
Mohammad Nabi (AFG),3,27,15,0,0,20.00,2,,v Pakistan,Colombo (RPS),26 Aug 2023,
SN Thakur (IND),3,5,3,0,0,100.00,1,,v Pakistan,Pallekele,2 Sep 2023,
Mohammad Nabi (AFG),3,21,6,0,0,50.00,2,,v Bangladesh,Lahore,3 Sep 2023,
AT Carey (AUS),3,16,9,0,0,33.33,2,,v South Africa,Bloemfontein,7 Sep 2023,
Shakib Al Hasan (BAN),3,10,7,0,0,42.85,2,,v Sri Lanka,Colombo (RPS),9 Sep 2023,
AM Hardie (AUS),3,8,5,0,0,60.00,1,,v South Africa,Bloemfontein,9 Sep 2023,
AK Markram (SA),3,9,8,0,0,37.50,2,,v Australia,Bloemfontein,9 Sep 2023,
V Kohli (IND),3,12,12,0,0,25.00,1,,v Sri Lanka,Colombo (RPS),12 Sep 2023,
SM Curran (ENG),3,12,6,0,0,50.00,1,,v New Zealand,The Oval,13 Sep 2023,
CR Woakes (ENG),3,10,8,0,0,37.50,1,,v New Zealand,The Oval,13 Sep 2023,
TWM Latham (NZ),3,17,12,0,0,25.00,2,,v England,The Oval,13 Sep 2023,
Mohammad Haris (PAK),3,11,9,0,0,33.33,1,,v Sri Lanka,Colombo (RPS),14 Sep 2023,
Shadab Khan (PAK),3,3,3,0,0,100.00,1,,v Sri Lanka,Colombo (RPS),14 Sep 2023,
MG Neser (AUS),3,15,11,0,0,27.27,2,,v South Africa,Centurion,15 Sep 2023,
MM Ali (ENG),3,7,8,0,0,37.50,1,,v New Zealand,Lord's,15 Sep 2023,
SS Iyer (IND),3,8,8,0,0,37.50,2,,v Australia,Mohali,22 Sep 2023,
GJ Maxwell (AUS),3,17,17,0,0,17.64,2,,v South Africa,Lucknow,12 Oct 2023,
Rahmat Shah (AFG),3,10,8,0,0,37.50,1,,v England,Delhi,15 Oct 2023,
Mehidy Hasan Miraz (BAN),3,15,13,0,0,23.07,1,,v India,Pune,19 Oct 2023,
G Coetzee (SA),3,2,3,0,0,100.00,1,,v England,Wankhede,21 Oct 2023,
JE Root (ENG),3,14,10,0,0,30.00,1,,v Sri Lanka,Bengaluru,26 Oct 2023,
Litton Das (BAN),3,20,12,0,0,25.00,2,,v Netherlands,Eden Gardens,28 Oct 2023,
Mustafizur Rahman (BAN),3,11,7,0,0,42.85,1,,v Pakistan,Eden Gardens,31 Oct 2023,
JP Inglis (AUS),3,5,6,0,0,50.00,1,,v England,Ahmedabad,4 Nov 2023,
Mehidy Hasan Miraz (BAN),3,9,5,0,0,60.00,2,,v Sri Lanka,Delhi,6 Nov 2023,
MA Starc (AUS),3,8,7,0,0,42.85,2,,v Afghanistan,Wankhede,7 Nov 2023,
Iftikhar Ahmed (PAK),3,8,5,0,0,60.00,2,,v England,Eden Gardens,11 Nov 2023,
Q de Kock (SA),3,27,14,0,0,21.42,1,,v Australia,Eden Gardens,16 Nov 2023,
JC Buttler (ENG),3,16,13,0,0,23.07,1,,v West Indies,North Sound,3 Dec 2023,
Z Crawley (ENG),3,18,9,0,0,33.33,2,,v West Indies,North Sound,6 Dec 2023,
BM Duckett (ENG),3,8,7,0,0,42.85,2,,v West Indies,North Sound,6 Dec 2023,
Azmatullah Omarzai (AFG),3,7,6,0,0,50.00,2,,v Sri Lanka,Pallekele,11 Feb 2024,
Soumya Sarkar (BAN),3,17,9,0,0,33.33,2,,v Sri Lanka,Chattogram,13 Mar 2024,
Towhid Hridoy (BAN),3,13,8,0,0,37.50,2,,v Sri Lanka,Chattogram,13 Mar 2024,
Arshdeep Singh (IND),3,9,4,0,0,75.00,2,,v Sri Lanka,Colombo (RPS),4 Aug 2024,
L Ngidi (SA),3,3,5,0,0,60.00,2,,v Afghanistan,Sharjah,20 Sep 2024,
A Zampa (AUS),3,5,5,0,0,60.00,1,,v England,Leeds,21 Sep 2024,
HE van der Dussen (SA),3,19,9,0,0,33.33,2,,v Ireland,Abu Dhabi,7 Oct 2024,
Tanzid Hasan (BAN),3,15,5,0,0,60.00,2,,v Afghanistan,Sharjah,6 Nov 2024,
Mahmudullah (BAN),3,13,9,0,0,33.33,1,,v Afghanistan,Sharjah,9 Nov 2024,
Irfan Khan (PAK),3,6,5,0,0,60.00,1,,v Zimbabwe,Bulawayo,28 Nov 2024,
Jaker Ali (BAN),3,8,9,0,0,33.33,1,,v West Indies,Basseterre,10 Dec 2024,
M Jansen (SA),3,9,6,0,0,50.00,2,,v Pakistan,Cape Town,19 Dec 2024,
DA Miller (SA),3,4,6,0,0,50.00,2,,v Pakistan,Johannesburg,22 Dec 2024,
Mohammad Rizwan (PAK),3,14,11,0,0,27.27,2,,v New Zealand,Lahore,8 Feb 2025,
AAP Atkinson (ENG),3,10,7,0,0,42.85,1,,v India,Cuttack,9 Feb 2025,
C Connolly (AUS),3,26,16,0,0,18.75,2,,v Sri Lanka,Colombo (RPS),12 Feb 2025,
Mohammad Rizwan (PAK),3,26,14,0,0,21.42,2,,v New Zealand,Karachi,19 Feb 2025,
Taskin Ahmed (BAN),3,16,6,0,0,50.00,1,,v India,Dubai (DICS),20 Feb 2025,
HC Brook (ENG),3,16,6,0,0,50.00,1,,v Australia,Lahore,22 Feb 2025,
Shapoor Zadran (AFG),2*,7,2,0,0,100.00,2,,v Bangladesh,Canberra,18 Feb 2015,
Mohammad Irfan (PAK),2*,8,11,0,0,18.18,2,,v West Indies,Christchurch,21 Feb 2015,
Shapoor Zadran (AFG),2*,10,4,0,0,50.00,1,,v New Zealand,Napier,8 Mar 2015,
SR Watson (AUS),2*,10,5,0,0,40.00,2,,v New Zealand,Melbourne,29 Mar 2015,
DS Kulkarni (IND),2*,3,2,0,0,100.00,1,,v Bangladesh,Mirpur,21 Jun 2015,
AR Patel (IND),2*,5,3,0,0,66.66,1,,v Zimbabwe,Harare,10 Jul 2015,
MS Wade (AUS),2*,6,2,0,0,100.00,1,,v Ireland,Belfast,27 Aug 2015,
JL Pattinson (AUS),2*,19,8,0,0,25.00,2,,v England,Manchester,8 Sep 2015,
MM Ali (ENG),2*,5,2,0,0,100.00,1,,v Pakistan,Abu Dhabi,13 Nov 2015,
Amir Hamza (AFG),2*,-,10,0,0,20.00,1,,v Zimbabwe,Sharjah,25 Dec 2015,
JW Hastings (AUS),2*,8,3,0,0,66.66,1,,v India,Sydney,23 Jan 2016,
TA Boult (NZ),2*,9,2,0,0,100.00,1,,v Australia,Wellington,6 Feb 2016,
Shapoor Zadran (AFG),2*,-,6,0,0,33.33,1,,v Ireland,Belfast,12 Jul 2016,
Hasan Ali (PAK),2*,3,3,0,0,66.66,1,,v West Indies,Sharjah,30 Sep 2016,
Shafiul Islam (BAN),2*,2,1,0,0,200.00,1,,v Afghanistan,Mirpur,1 Oct 2016,
A Zampa (AUS),2*,2,2,0,0,100.00,1,,v New Zealand,Sydney,4 Dec 2016,
TA Boult (NZ),2*,10,6,0,0,33.33,2,,v Australia,Canberra,6 Dec 2016,
WD Parnell (SA),2*,6,2,0,0,100.00,1,,v Sri Lanka,Durban,1 Feb 2017,
Hashmatullah Shahidi (AFG),2*,3,1,0,0,200.00,1,,v Zimbabwe,Harare,19 Feb 2017,
ST Finn (ENG),2*,-,2,0,0,100.00,1,,v West Indies,Bridgetown,9 Mar 2017,
Mosaddek Hossain (BAN),2*,3,3,0,0,66.66,1,,v England,The Oval,1 Jun 2017,
JT Ball (ENG),2*,7,5,0,0,40.00,1,,v Pakistan,Cardiff,14 Jun 2017,
Kuldeep Yadav (IND),2*,-,6,0,0,33.33,2,,v West Indies,North Sound,2 Jul 2017,
UT Yadav (IND),2*,3,2,0,0,100.00,2,,v Australia,Bengaluru,28 Sep 2017,
PJ Cummins (AUS),2*,7,2,0,0,100.00,1,,v India,Nagpur,1 Oct 2017,
TA Boult (NZ),2*,6,2,0,0,100.00,1,,v India,Pune,25 Oct 2017,
MA Wood (ENG),2*,-,2,0,0,100.00,1,,v Australia,Adelaide,26 Jan 2018,
