Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
JJ Roy (ENG),120,156,108,12,2,111.11,1,,v Australia,Cardiff,16 Jun 2018,
V Kohli (IND),120,179,125,14,1,96.00,1,,v West Indies,Port of Spain,11 Aug 2019,
Q de Kock (SA),120,150,91,11,5,131.86,1,,v Ireland,Dublin (Malahide),16 Jul 2021,
WA Young (NZ),120,168,112,6,4,107.14,1,,v Netherlands,Hamilton,4 Apr 2022,
LRPL Taylor (NZ),119*,146,96,10,4,123.95,1,,v England,The Oval,12 Jun 2015,
H Klaasen (SA),119*,-,61,15,5,195.08,2,,v West Indies,Potchefstroom,21 Mar 2023,
T de Zorzi (SA),119*,172,122,9,6,97.54,2,,v India,Gqeberha,19 Dec 2023,
AB de Villiers (SA),119,98,61,3,11,195.08,1,,v India,Wankhede,25 Oct 2015,
DA Warner (AUS),119,149,115,14,1,103.47,1,,v New Zealand,Canberra,6 Dec 2016,
RG Sharma (IND),119,-,128,8,6,92.96,2,,v Australia,Bengaluru,19 Jan 2020,
RG Sharma (IND),119,142,90,12,7,132.22,2,,v England,Cuttack,9 Feb 2025,
DA Miller (SA),118*,124,79,10,6,149.36,2,,v Australia,Durban,5 Oct 2016,
DJ Mitchell (NZ),118*,94,91,7,7,129.67,2,,v England,Cardiff,8 Sep 2023,
TWM Latham (NZ),118*,160,104,10,3,113.46,1,,v Pakistan,Karachi,19 Feb 2025,
KS Williamson (NZ),118,159,113,12,1,104.42,2,,v England,Southampton,14 Jun 2015,
Tamim Iqbal (BAN),118,158,118,11,2,100.00,1,,v Afghanistan,Mirpur,1 Oct 2016,
KS Williamson (NZ),118,183,128,14,1,92.18,1,,v India,Delhi,20 Oct 2016,
MJ Guptill (NZ),118,126,88,14,4,134.09,2,,v Bangladesh,Christchurch,16 Feb 2019,
SW Billings (ENG),118,155,110,14,2,107.27,2,,v Australia,Manchester,11 Sep 2020,
DJ Malan (ENG),118,189,114,7,6,103.50,1,,v South Africa,Kimberley,1 Feb 2023,
DA Miller (SA),117*,138,98,3,6,119.38,1,,v Sri Lanka,Durban,1 Feb 2017,
Fakhar Zaman (PAK),117*,144,129,16,0,90.69,2,,v Zimbabwe,Bulawayo,16 Jul 2018,
MJ Guptill (NZ),117*,192,116,8,4,100.86,2,,v Bangladesh,Napier,13 Feb 2019,
V Kohli (IND),117,174,117,7,2,100.00,1,,v Australia,Melbourne,17 Jan 2016,
Babar Azam (PAK),117,-,106,8,1,110.37,1,,v West Indies,Abu Dhabi,5 Oct 2016,
DA Warner (AUS),117,139,107,13,2,109.34,1,,v South Africa,Durban,5 Oct 2016,
Soumya Sarkar (BAN),117,-,92,9,6,127.17,2,,v Zimbabwe,Chattogram,26 Oct 2018,
PSP Handscomb (AUS),117,-,105,8,3,111.42,2,,v India,Mohali,10 Mar 2019,
S Dhawan (IND),117,163,109,16,0,107.33,1,,v Australia,The Oval,9 Jun 2019,
Fakhar Zaman (PAK),117,194,114,13,1,102.63,2,,v New Zealand,Rawalpindi,27 Apr 2023,
Najmul Hossain Shanto (BAN),117,156,93,12,3,125.80,2,,v Ireland,Chelmsford,12 May 2023,
V Kohli (IND),117,149,113,9,2,103.53,1,,v New Zealand,Wankhede,15 Nov 2023,
Tamim Iqbal (BAN),116*,190,116,17,1,100.00,2,,v Pakistan,Mirpur,19 Apr 2015,
MJ Guptill (NZ),116*,169,138,11,1,84.05,2,,v Zimbabwe,Harare,4 Aug 2015,
JC Buttler (ENG),116*,68,52,10,8,223.07,1,,v Pakistan,Dubai (DICS),20 Nov 2015,
Mohammad Nabi (AFG),116,155,121,3,6,95.86,1,,v Zimbabwe,Bulawayo,18 Oct 2015,
V Kohli (IND),116,-,120,10,0,96.66,1,,v Australia,Nagpur,5 Mar 2019,
AJ Finch (AUS),116,-,135,8,4,85.92,2,,v Pakistan,Sharjah,22 Mar 2019,
Shubman Gill (IND),116,147,97,14,2,119.58,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,
R Ravindra (NZ),116,137,89,9,5,130.33,2,,v Australia,Dharamsala,28 Oct 2023,
KS Williamson (NZ),115,158,117,8,1,98.29,1,,v Pakistan,Wellington,6 Jan 2018,
RG Sharma (IND),115,179,126,11,4,91.26,1,,v South Africa,Gqeberha,13 Feb 2018,
Imrul Kayes (BAN),115,-,112,10,2,102.67,2,,v Zimbabwe,Chattogram,26 Oct 2018,
Mohammad Rizwan (PAK),115,-,126,11,0,91.26,1,,v Australia,Sharjah,24 Mar 2019,
Babar Azam (PAK),115,150,112,13,1,102.67,1,,v England,Nottingham,17 May 2019,
Babar Azam (PAK),115,-,105,8,4,109.52,1,,v Sri Lanka,Karachi,30 Sep 2019,
MJ Guptill (NZ),115,156,126,15,2,91.26,1,,v Ireland,Dublin (Malahide),15 Jul 2022,
V Kohli (IND),114*,127,99,14,0,115.15,2,,v West Indies,Port of Spain,14 Aug 2019,
DJ Malan (ENG),114*,218,145,8,4,78.62,2,,v Bangladesh,Mirpur,1 Mar 2023,
T Bavuma (SA),114*,214,142,14,1,80.28,1,,v Australia,Bloemfontein,7 Sep 2023,
MJ Guptill (NZ),114,150,102,10,6,111.76,2,,v Australia,Sydney,4 Dec 2016,
Shakib Al Hasan (BAN),114,184,115,11,1,99.13,2,,v New Zealand,Cardiff,9 Jun 2017,
Fakhar Zaman (PAK),114,142,106,12,3,107.54,1,,v India,The Oval,18 Jun 2017,
Rahmat Shah (AFG),114,-,110,8,4,103.63,1,,v Zimbabwe,Sharjah,9 Feb 2018,
